               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.024762,            0.010861,           0.0011591,             0.82184,             0.78162,             0.82109,             0.48398,            0.029397,            0.010536,            0.005113,             0.00307,             0.00307,             0.00307
                  37,            0.023767,            0.010543,           0.0010905,             0.82791,             0.81589,             0.84569,             0.49828,            0.029585,            0.010082,           0.0050377,            0.002872,            0.002872,            0.002872
                  38,            0.024181,            0.010637,           0.0010109,             0.79337,             0.79782,             0.82696,             0.48762,            0.029648,            0.010392,           0.0051932,            0.002674,            0.002674,            0.002674
                  39,            0.023967,            0.010509,           0.0011077,             0.80187,             0.81552,             0.82447,             0.48914,            0.029714,            0.010124,           0.0054048,            0.002476,            0.002476,            0.002476
                  40,            0.023549,            0.010178,           0.0011463,             0.78597,             0.84412,             0.84013,             0.48696,            0.030017,            0.010093,           0.0050196,            0.002278,            0.002278,            0.002278
                  41,             0.02311,            0.010276,           0.0010091,             0.81426,             0.82377,             0.83063,             0.48932,            0.029881,              0.0104,           0.0049547,             0.00208,             0.00208,             0.00208
                  42,            0.022849,           0.0098749,          0.00092399,             0.82292,             0.80425,             0.83288,             0.49035,            0.029504,            0.010388,           0.0049603,            0.001882,            0.001882,            0.001882
                  43,            0.022216,           0.0099301,          0.00077906,             0.81333,             0.81099,             0.82903,             0.49285,            0.029618,            0.010314,           0.0050345,            0.001684,            0.001684,            0.001684
                  44,            0.022043,           0.0096875,          0.00087843,             0.81275,             0.80867,             0.83758,             0.50062,            0.029332,            0.010431,           0.0052068,            0.001486,            0.001486,            0.001486
                  45,            0.021823,           0.0094772,          0.00080678,             0.78598,             0.82518,             0.83111,             0.49152,            0.029485,            0.010471,           0.0053581,            0.001288,            0.001288,            0.001288
                  46,            0.021688,           0.0097946,          0.00073142,             0.81283,             0.77415,             0.82551,             0.48976,            0.029673,            0.010639,           0.0051464,             0.00109,             0.00109,             0.00109
                  47,            0.021644,             0.00958,          0.00083091,             0.80531,             0.82189,             0.83381,             0.49129,            0.029748,            0.010466,           0.0049698,            0.000892,            0.000892,            0.000892
                  48,            0.021286,           0.0097751,          0.00075745,             0.81322,             0.79406,             0.83459,             0.49821,            0.029274,            0.010497,           0.0053299,            0.000694,            0.000694,            0.000694
                  49,            0.020916,           0.0092186,          0.00076636,             0.82571,             0.80672,             0.83727,             0.49937,            0.029133,            0.010429,           0.0053879,            0.000496,            0.000496,            0.000496
